Location,Original Price ($),Lowest Price ($),Distance (Miles),,Constants
Lucile Packard Children's Hospital Outpatient Farm,12.48,9.96,1.1,,Amoxicillin
Stanford Health Care Pharmacy,12.48,9.96,1.4,,Capsule
CVS,12.48,7.04,2.5,,500 Mg
Drew Center Pharmacy,12.48,9.96,3.5,,21 Capsules
Berkshire Pharmacy,12.48,8.31,4.3,,https://www.buzzrx.com/Amoxicillin/coupon
Facebook Health Center,12.48,9.96,4.4,,
Fair Oak Community Pharmacy,12.48,9.96,4.9,,
Ravenswood Family Health Center Pharmacy,12.48,9.96,5.7,,
Kaiser Health Plan Phy,12.48,9.96,6,,
Kaiser Health Plan Cypress Mob Phy,12.48,9.96,6,,
Kaiser Foundation Hospital Pharmacy B,12.48,9.96,6.2,,
John F Welsh MD,12.48,8.31,6.4,,
Crossover Lifechilco Campus,12.48,9.96,7.8,,
El Camino Hospital Outpatient Pharmacy,12.48,10.71,9.1,,
"Ronald S. Greenwald MD, Inc",12.48,8.31,10.5,,
El Camino Urology Medical Group Inc,12.48,9.86,10.5,,
Crossover Health Near-Site,12.48,9.96,14,,
Kaiser Permanente Pharmacy,12.48,9.96,15.6,,
Capsule Pharmacy,12.48,10.71,17.1,,
Walgreens,13.95,7.79,1.7,,
Walmart,16.27,16.27,5.8,,
Safeway,18.89,5.81,2.4,,
Rite Aid,24.99,11.02,5.5,,
